"tick";"Accuracy_run0";"Accuracy_run1";"Accuracy_run2";"Accuracy_run3";"Accuracy_run4";"Accuracy_run5";"Accuracy_run6";"Accuracy_run7";"Accuracy_run8";"Accuracy_run9";"Time for detection_run0";"Time for detection_run1";"Time for detection_run2";"Time for detection_run3";"Time for detection_run4";"Time for detection_run5";"Time for detection_run6";"Time for detection_run7";"Time for detection_run8";"Time for detection_run9"
"420";"0.14452214452214454";"0.3430555555555556";;"0.10726495726495727";;"0.05";"0.17080062794348508";;;;"44.53923853923853";"3.3152777777777778";;"19.99358974358974";;"16.907692307692308";"10.439560439560436";;;
"440";"0.12520812520812524";"0.5371428571428571";;"0.14133089133089133";;"0.05";"0.1663003663003663";;;;"44.53923853923853";"26.72001984126984";;"22.473443223443226";;"16.907692307692308";"10.439560439560436";;;
"460";"0.11577311577311576";"0.4942129629629629";;"0.14133089133089133";;"0.05";"0.18095238095238095";;;;"44.53923853923853";"25.570932539682538";;"22.473443223443226";;"16.907692307692308";"11.714285714285717";;;
"480";"0.11206741975972745";;;"0.13949938949938945";;"0.04358974358974359";"0.19874411302982728";;;;"44.53923853923853";;;"22.473443223443226";;"16.907692307692308";"12.8992673992674";;;
"500";"0.11206741975972745";;;"0.1381257631257631";;"0.04358974358974359";"0.22438513867085297";;;;"44.53923853923853";;;"22.473443223443226";;"16.907692307692308";"14.065934065934066";;;
"520";"0.11206741975972745";;;"0.1381257631257631";;"0.04358974358974359";"0.23720565149136577";;;;"44.53923853923853";;;"22.473443223443226";;"16.907692307692308";"14.947344322344321";;;
"540";;;;"0.13669108669108665";;"0.04358974358974359";;;;;;;;"23.123015873015877";;"16.907692307692308";;;;
"560";;;;"0.13669108669108665";;"0.05641025641025641";;;;;;;;"23.123015873015877";;"18.29230769230769";;;;
"580";;;;"0.1358363858363858";;"0.06282051282051282";;;;;;;;"23.123015873015877";;"19.08076923076923";;;;
"600";;;;"0.1358363858363858";;"0.06282051282051282";;;;;;;;"23.123015873015877";;"19.08076923076923";;;;
"620";;;;"0.1358363858363858";;"0.08205128205128207";;;;;;;;"23.123015873015877";;"20.426923076923078";;;;
"640";;;;"0.1307081807081807";;"0.1";;;;;;;;"23.123015873015877";;"22.95213675213675";;;;
"660";;;;"0.13000888000888";;"0.10932400932400933";;;;;;;;"23.123015873015877";;"23.864335664335663";;;;
"680";;;;"0.13000888000888";;"0.10932400932400933";;;;;;;;"23.123015873015877";;"23.864335664335663";;;;
"700";;;;"0.13000888000888";;"0.10932400932400933";;;;;;;;"23.123015873015877";;"23.864335664335663";;;;
"720";;;;"0.13000888000888";;"0.10932400932400933";;;;;;;;"23.123015873015877";;"23.864335664335663";;;;
"740";;;;"0.13485019254250022";;"0.10932400932400933";;;;;;;;"23.498371998372";;"23.864335664335663";;;;
"760";;;;"0.13485019254250022";;"0.10932400932400933";;;;;;;;"23.498371998372";;"23.864335664335663";;;;
"780";;;;"0.13347656616887388";;"0.10932400932400933";;;;;;;;"23.498371998372";;"23.864335664335663";;;;
"800";;;;"0.13347656616887388";;"0.10932400932400933";;;;;;;;"23.498371998372";;"23.864335664335663";;;;
"820";;;;"0.13240819010049779";;"0.10932400932400933";;;;;;;;"23.498371998372";;"23.864335664335663";;;;
"840";;;;"0.14394665163895934";;;;;;;;;;"28.167602767602766";;;;;;
"860";;;;"0.14394665163895934";;;;;;;;;;"28.167602767602766";;;;;;
"880";;;;"0.14394665163895934";;;;;;;;;;"28.167602767602766";;;;;;
"900";;;;"0.14394665163895934";;;;;;;;;;"28.167602767602766";;;;;;
"920";;;;"0.15078425847656618";;;;;;;;;;"28.324745624745628";;;;;;
"940";;;;"0.1429754006677084";;;;;;;;;;"28.324745624745628";;;;;;
"960";;;;"0.14495675264906033";;;;;;;;;;"30.240130240130238";;;;;;
"980";;;;"0.14437400206630974";;;;;;;;;;"30.240130240130238";;;;;;
