"tick";"Accuracy_run0";"Accuracy_run1";"Accuracy_run2";"Accuracy_run3";"Accuracy_run4";"Accuracy_run5";"Accuracy_run6";"Accuracy_run7";"Accuracy_run8";"Accuracy_run9";"Accuracy_run10";"Accuracy_run11";"Accuracy_run12";"Accuracy_run13";"Accuracy_run14";"Accuracy_run15";"Accuracy_run16";"Accuracy_run17";"Accuracy_run18";"Accuracy_run19";"Time for detection_run0";"Time for detection_run1";"Time for detection_run2";"Time for detection_run3";"Time for detection_run4";"Time for detection_run5";"Time for detection_run6";"Time for detection_run7";"Time for detection_run8";"Time for detection_run9";"Time for detection_run10";"Time for detection_run11";"Time for detection_run12";"Time for detection_run13";"Time for detection_run14";"Time for detection_run15";"Time for detection_run16";"Time for detection_run17";"Time for detection_run18";"Time for detection_run19"
"820";"87.5";"100.0";"93.33333333333333";"46.666666666666664";;;"80.0";"53.33333333333333";"60.0";"45.0";"100.0";"100.0";;"53.33333333333333";"66.66666666666666";"59.999999999999986";"100.0";"88.75";"56.666666666666664";"63.33333333333333";"72.875";"102.66666666666667";"97.2";"61.0";;;"81.3";"86.2";"77.3";"88.13333333333334";"93.66666666666667";"108.66666666666667";;"89.8";"102.3";"107.8";"80.66666666666667";"65.72916666666667";"92.9";"68.5"
"840";"87.5";"100.0";"93.33333333333333";"48.33333333333333";;;"80.0";"53.33333333333333";"60.0";"45.0";"100.0";"100.0";;"53.33333333333333";"66.66666666666666";"59.999999999999986";"100.0";"88.75";"56.666666666666664";"68.33333333333333";"72.875";"102.66666666666667";"97.2";"60.766666666666666";;;"81.3";"86.2";"77.3";"88.13333333333334";"93.66666666666667";"100.7";;"89.8";"102.3";"107.8";"82.33333333333333";"65.72916666666667";"92.9";"72.86666666666666"
"860";"87.5";"100.0";"93.33333333333333";"48.33333333333333";;;"80.0";"53.33333333333333";"60.0";"45.0";"100.0";"80.0";;"53.33333333333333";"70.0";"59.999999999999986";"100.0";"88.75";"56.666666666666664";"68.33333333333333";"72.875";"102.66666666666667";"99.2";"60.766666666666666";;;"81.3";"86.2";"77.3";"88.13333333333334";"93.66666666666667";"120.7";;"89.8";"104.2";"107.8";"87.25";"65.72916666666667";"92.9";"72.86666666666666"
"880";"87.5";"100.0";"93.33333333333333";"51.0";;;"90.0";"53.33333333333333";"60.0";"45.0";"100.0";"80.0";;"53.33333333333333";"70.0";"59.999999999999986";"100.0";"88.75";"56.666666666666664";"68.33333333333333";"72.875";"102.66666666666667";"99.2";"65.46666666666667";;;"111.5";"86.2";"77.3";"88.13333333333334";"93.66666666666667";"120.7";;"89.8";"104.2";"107.8";"87.25";"65.72916666666667";"92.9";"60.75"
"900";"87.5";"100.0";"93.33333333333333";"51.0";;;"80.0";"53.33333333333333";"60.0";"45.0";"100.0";"80.0";;"53.33333333333333";"73.33333333333333";"59.999999999999986";"100.0";"88.75";"56.666666666666664";"68.33333333333333";"72.875";"102.66666666666667";"99.2";"65.46666666666667";;;"111.5";"86.2";"77.3";"88.13333333333334";"93.66666666666667";"120.7";;"89.8";"111.0";"107.8";"87.25";"65.72916666666667";"92.9";"60.75"
"920";"87.5";"100.0";"93.33333333333333";"51.0";;;"80.0";"53.33333333333333";"60.0";"45.0";"100.0";"80.0";;"53.33333333333333";"73.33333333333333";"59.999999999999986";"100.0";"88.75";"56.666666666666664";"68.33333333333333";"72.875";"102.66666666666667";"106.93333333333335";"65.46666666666667";;;"111.5";"86.2";"77.3";"88.13333333333334";"90.66666666666667";"120.7";;"89.8";"111.0";"107.8";"87.25";"65.72916666666667";"92.9";"60.75"
"940";"87.5";"100.0";"93.33333333333333";"52.0";;;"80.0";"53.33333333333333";"60.0";"45.0";"87.5";"80.0";;"55.0";"75.0";"59.999999999999986";;"88.75";"56.666666666666664";"68.33333333333333";"72.875";"102.66666666666667";"106.93333333333335";"70.35";;;"111.5";"86.2";"77.3";"88.13333333333334";"68.125";"120.7";;"89.16666666666666";"111.13333333333333";"107.8";;"65.72916666666667";"92.9";"60.75"
"960";"87.5";"100.0";"93.33333333333333";"58.666666666666664";;;"80.0";"53.33333333333333";"60.0";"45.0";"87.5";"80.0";;"55.0";"65.0";"59.999999999999986";;"88.75";"56.666666666666664";"70.0";"72.875";"102.66666666666667";"106.93333333333335";"93.35";;;"111.5";"86.2";"77.3";"88.13333333333334";"68.125";"120.7";;"89.16666666666666";"110.63333333333333";"107.8";;"65.72916666666667";"92.9";"63.216666666666676"
"980";"87.5";"100.0";"93.33333333333333";"58.666666666666664";;;"80.0";"53.33333333333333";"60.0";"45.0";"91.66666666666666";"80.0";;"55.0";"65.0";"59.999999999999986";;"88.75";"56.666666666666664";"70.0";"72.875";"102.66666666666667";"106.93333333333335";"93.35";;;"111.5";"86.2";"77.3";"88.13333333333334";"84.5";"120.7";;"89.16666666666666";"110.63333333333333";"107.8";;"65.72916666666667";"92.9";"63.216666666666676"
"1000";;"100.0";"93.33333333333333";"58.666666666666664";;;"80.0";"53.33333333333333";"63.33333333333333";"45.0";"91.66666666666666";"80.0";;"55.0";"66.0";"59.999999999999986";;"88.75";"56.666666666666664";"70.0";;"102.66666666666667";"106.93333333333335";"93.35";;;"111.5";"86.2";"79.0";"88.13333333333334";"84.5";"120.7";;"89.16666666666666";"105.66666666666666";"107.8";;"65.72916666666667";"92.9";"63.216666666666676"
"1020";;"100.0";"93.33333333333333";"58.666666666666664";;;"80.0";"53.33333333333333";"63.33333333333333";"51.666666666666664";"91.66666666666666";"80.0";;"58.33333333333333";"66.0";"59.999999999999986";;"88.75";"60.0";"70.0";;"102.66666666666667";"105.4";"93.35";;;"111.5";"86.2";"79.0";"112.53333333333335";"84.5";"120.7";;"89.16666666666666";"105.66666666666666";"107.8";;"65.72916666666667";"98.9";"63.216666666666676"
"1040";;"100.0";"93.33333333333333";"58.666666666666664";;;"80.0";"53.33333333333333";"63.33333333333333";"53.33333333333333";"91.66666666666666";"80.0";;"58.33333333333333";"66.0";"59.999999999999986";;"88.75";"60.0";"70.0";;"102.66666666666667";"105.4";"93.35";;;"111.5";"86.2";"79.0";"113.13333333333335";"84.5";"120.7";;"89.16666666666666";"105.66666666666666";"107.8";;"65.72916666666667";"98.9";"63.216666666666676"
"1060";;"100.0";"93.33333333333333";"62.0";;;"80.0";"53.33333333333333";"63.33333333333333";"54.33333333333333";"91.66666666666666";"80.0";;"58.33333333333333";"66.0";"59.999999999999986";;"88.75";"60.0";"70.0";;"102.66666666666667";"105.4";"93.25";;;"111.5";"86.2";"79.0";"115.95";"84.5";"120.7";;"89.16666666666666";"105.66666666666666";"107.8";;"65.72916666666667";"98.9";"63.216666666666676"
"1080";;"100.0";"93.33333333333333";"62.0";;;"80.0";"53.33333333333333";"63.33333333333333";"54.33333333333333";"91.66666666666666";"80.0";;"58.33333333333333";"66.0";"59.999999999999986";;"88.75";"62.0";"70.0";;"102.66666666666667";"105.4";"110.51666666666668";;;"111.5";"86.2";"79.0";"115.95";"84.5";"111.96666666666667";;"89.16666666666666";"105.66666666666666";"107.8";;"65.72916666666667";"93.9";"63.216666666666676"
"1100";;"100.0";"93.33333333333333";;;;"80.0";"53.33333333333333";"68.33333333333333";"54.33333333333333";"91.66666666666666";;;"58.33333333333333";"66.0";"61.666666666666664";;"88.75";"62.0";"70.0";;"102.66666666666667";"105.4";;;;"111.5";"86.2";"94.0";"115.95";"84.5";;;"89.16666666666666";"105.66666666666666";"106.33333333333334";;"65.72916666666667";"93.9";"63.216666666666676"
"1120";;"100.0";"93.33333333333333";;;;"80.0";"53.33333333333333";"68.33333333333333";"54.33333333333333";"91.66666666666666";;;"58.33333333333333";"66.0";"65.0";;"88.75";"62.0";"70.0";;"102.66666666666667";"105.4";;;;"111.5";"86.2";"94.0";"115.95";"84.5";;;"89.16666666666666";"105.66666666666666";"107.83333333333334";;"65.72916666666667";"93.9";"63.216666666666676"
"1140";;"100.0";"93.33333333333333";;;;"80.0";"53.33333333333333";"68.33333333333333";"54.33333333333333";"91.66666666666666";;;"58.33333333333333";"66.0";"65.0";;"88.75";"62.0";"70.0";;"102.66666666666667";"105.4";;;;"111.5";"86.2";"94.0";"115.95";"84.5";;;"89.16666666666666";"105.66666666666666";"107.83333333333334";;"65.72916666666667";"93.9";"63.216666666666676"
"1160";;"100.0";"93.33333333333333";;;;"80.0";"53.33333333333333";"68.33333333333333";"54.33333333333333";"91.66666666666666";;;"58.33333333333333";"66.0";"65.0";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";"105.4";;;;"111.5";"86.2";"94.0";"115.95";"84.5";;;"89.16666666666666";"105.66666666666666";"107.83333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1180";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";"54.33333333333333";;;;"60.0";"66.0";"65.0";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";;;;;"111.5";"86.2";"94.0";"115.95";;;;"90.83333333333333";"105.66666666666666";"107.83333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1200";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";"54.33333333333333";;;;"61.0";"67.0";"65.0";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";;;;;"111.5";"86.2";"94.0";"115.95";;;;"91.06666666666666";"110.71666666666665";"107.83333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1220";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";"54.33333333333333";;;;;"67.0";"65.0";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";;;;;"111.5";"86.2";"94.0";"115.95";;;;;"110.71666666666665";"107.83333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1240";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"65.0";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";;;;;"111.5";"86.2";"94.0";;;;;;"110.71666666666665";"107.83333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1260";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"65.0";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";;;;;"111.5";"86.2";"94.0";;;;;;"110.71666666666665";"107.83333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1280";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"65.0";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"107.83333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1300";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"65.0";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"107.83333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1320";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"65.0";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"107.83333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1340";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"68.33333333333334";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"106.33333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1360";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1380";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"70.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"63.216666666666676"
"1400";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"64.65"
"1420";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"64.65"
"1440";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"64.65"
"1460";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"64.65"
"1480";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"64.65"
"1500";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"64.65"
"1520";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"64.65"
"1540";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"71.53999999999999"
"1560";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"71.53999999999999"
"1580";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"71.53999999999999"
"1600";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"71.53999999999999"
"1620";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";"71.66666666666667";;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";"104.33333333333334";;"65.72916666666667";"93.8";"71.53999999999999"
"1640";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1660";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1680";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1700";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1720";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1740";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1760";;"100.0";;;;;"80.0";"53.33333333333333";"68.33333333333333";;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";"93.2";;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1780";;"100.0";;;;;"80.0";"53.33333333333333";;;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";;;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1800";;"100.0";;;;;"80.0";"53.33333333333333";;;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";;;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1820";;"100.0";;;;;"80.0";"53.33333333333333";;;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";;;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1840";;"100.0";;;;;"80.0";"53.33333333333333";;;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";;;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1860";;"100.0";;;;;"80.0";"53.33333333333333";;;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";;;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1880";;"100.0";;;;;"80.0";"53.33333333333333";;;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";;;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1900";;"100.0";;;;;"80.0";"53.33333333333333";;;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";;;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1920";;"100.0";;;;;"80.0";"53.33333333333333";;;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";;;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
"1940";;"100.0";;;;;"80.0";"53.33333333333333";;;;;;;"67.0";;;"88.75";"65.33333333333333";"71.0";;"102.66666666666667";;;;;"111.5";"86.2";;;;;;;"110.71666666666665";;;"65.72916666666667";"93.8";"71.53999999999999"
